"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @rafealcuzr66: #CruzCrew: UTAH: https://t.co/WdtqqdU6x8

TedCruz: 53% 
JohnKasich: 29%
realDonaldTrump: 11%

#ChooseCruz: https://t.co/K…",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912787778252800",NA,"<a href=""http://www.stopmadness.com"" rel=""nofollow"">StopMadness</a>","ImmoralReport",5,TRUE,FALSE,NA,NA
"2","RT @MattWalshBlog: I will debate any conservative media Trump shill who made my blacklist. I'm ""just a blogger"" so it should be easy to bea…",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912787371499521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheSCGirl",2,TRUE,FALSE,NA,NA
"3","RT @feanquan1: TRUMP WAS RIGHT: Former FBI Agent Drops Bombshell About The “Vast Majority” Of Mosques https://t.co/KDucImsVpQ",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912787107119104",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","wilcoxc22",1981,TRUE,FALSE,NA,NA
"4","RT @amrightnow: Turn the lights off on your way out! Trump will make them bright again! #realdonaldtrump #VoteTrump2016 #1A https://t.co/RJ…",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912786364751872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jr_boles",5,TRUE,FALSE,NA,NA
"5","RT @thehill: Poll: Majority of Americans want to punch Trump in the face https://t.co/nC04YyZKcd https://t.co/TToaEkrDuc",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912785882566658",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","keller_lind",8,TRUE,FALSE,NA,NA
"6","Women Hate Donald Trump Even More Than Men Hate Hillary Clinton https://t.co/TzAEdAbH4a https://t.co/3cEzc6Jds2",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912785232277505",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","fborgosano",0,FALSE,FALSE,NA,NA
"7","RT @Donna5260: #UtahPrimary #ArizonaPrimary When Trump says he won't let you down, he means it. He will be the voice of the people who are …",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912784301330432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pacsgirl36",2,TRUE,FALSE,NA,NA
"8","RT @chicoscperez: Protester punched, kicked at Donald Trump rally in Arizona https://t.co/0Acr7556Te via @msnbc #TNTweeters #AINF",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912784301203458",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TNTweetersUSA",3,TRUE,FALSE,NA,NA
"9","@ByronYork @loudobbsnews If they steal this, the GOP will be destroyed. All Rs will be seen as complicit. Down ticket will be destroyed",FALSE,0,"ByronYork",2016-03-21 13:50:09,FALSE,"711902309580738560","711912784070455296","47739450","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Trump_MAGA",0,FALSE,FALSE,NA,NA
"10","@mercedesschlapp &amp; @mschlapp have always been the fairest GOPe towards Trump.  Very much appreciated.",FALSE,0,"mercedesschlapp",2016-03-21 13:50:09,FALSE,NA,"711912784028524544","42670638","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Melanieny5404",0,FALSE,FALSE,NA,NA
"11","RT @diana_west_: ""Open Borders"" Soros Justice Fellow arrested for blocking road to Trump rally https://t.co/2bGEP9P5uv via @MailOnline",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912783915384832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmyGreggthatsme",30,TRUE,FALSE,NA,NA
"12","RT @QueeenSass: All Republicans who say they won't vote for Trump if he becomes the nominee, YOU NEED TO READ THIS. https://t.co/tUVTmLns29",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912783860793346",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mcmxcviiixixi",20,TRUE,FALSE,NA,NA
"13","FortuneMagazine: This is Donald Trump’s go-to lender https://t.co/tr2SISp0XH https://t.co/t8kNRthpd7",FALSE,0,NA,2016-03-21 13:50:09,FALSE,NA,"711912783827353600",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","davidbychkovceo",0,FALSE,FALSE,NA,NA
